Gene_Symbol,GeneID,Description
FLJ22655,79785,hypothetical protein FLJ22655
MOGAT1,116255,monoacylglycerol O-acyltransferase 1
CCDC65,85478,coiled-coil domain containing 65
CYP2S1,29785,"cytochrome P450, family 2, subfamily S, polypeptide 1 (fatty acid endoperoxides and hydroperoxides metabolism., possible role in inflammation)"
DPY19L3,147991,dpy-19-like 3 (C. elegans)
GIMAP6,474344,"GTPase, IMAP family member 6"
LTV1,84946,LTV1 homolog
PJA1,64219,praja 1
PVRL4,81607,poliovirus receptor-related 4
TCAM1,146771,testicular cell adhesion molecule 1 homolog (mouse)
ATP13A3,79572,ATPase type 13A3
ZFAND1,79752,"zinc finger, AN1-type domain 1"
EGFL7,51162,"EGF-like-domain, multiple 7"
ASPSCR1,79058,"alveolar soft part sarcoma chromosome region, candidate 1"
TARDBP,23435,TAR DNA binding protein
C16orf57,79650,chromosome 16 open reading frame 57
REEP6,92840,receptor accessory protein 6
C7orf23,79161,chromosome 7 open reading frame 23
EFCAB1,79645,EF-hand calcium binding domain 1
KPRP,448834,keratinocyte proline-rich protein
KAP2.1B,85297,keratin associated protein 2.1B
DCD,117159,dermcidin
MRPS6,64968,mitochondrial ribosomal protein S6
OXCT2,64064,3-oxoacid CoA transferase 2
OR5J2,282775,"olfactory receptor, family 5, subfamily J, member 2"
KIAA1826,84437,KIAA1826
TAF7L,54457,"TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa"
C9orf69,90120,chromosome 9 open reading frame 69
USP30,84749,ubiquitin specific peptidase 30
BRUNOL6,60677,"bruno-like 6, RNA binding protein"
OCC-1,387882,overexpressed in colon carcinoma-1
SPHK2,56848,sphingosine kinase 2
FN3K,64122,fructosamine 3 kinase
OGFRL1,79627,opioid growth factor receptor-like 1
ALPK2,115701,alpha-kinase 2
BXDC5,80135,brix domain containing 5
EFCAB2,84288,EF-hand calcium binding domain 2
UBTF,7343,"upstream binding transcription factor, RNA polymerase I"
ADPGK,83440,ADP-dependent glucokinase
"LOC145663,GATM",145663,"hypothetical protein LOC145663, glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
ASB10,136371,ankyrin repeat and SOCS box-containing 10
MYH10,4628,"myosin, heavy chain 10, non-muscle"
C10orf88,80007,chromosome 10 open reading frame 88
PRICKLE2,166336,prickle homolog 2
GABARAPL1,23710,GABA(A) receptor-associated protein like 1
OR10A6,390093,"olfactory receptor, family 10, subfamily A, member 6"
CEACAM20,125931,carcinoembryonic antigen-related cell adhesion molecule 20
GAGE7B,26748,G antigen 7B
TRIM4,89122,tripartite motif-containing 4
TEKT1,83659,tektin 1
SAC,55811,testicular soluble adenylyl cyclase
FAM54A,113115,"family with sequence similarity 54, member A"
ABCG8,64241,"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)"
SCGB3A1,92304,"secretoglobin, family 3A, member 1"
UCK1,83549,uridine-cytidine kinase 1
TTC29,83894,tetratricopeptide repeat domain 29
RS1,6247,"retinoschisis (X-linked, juvenile) 1"
TIMP2,7077,TIMP metallopeptidase inhibitor 2
SNAI2,6591,snail homolog 2
EIF2S1,1965,"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"
SEC16B,89866,SEC16 homolog B
SRRM2,23524,serine/arginine repetitive matrix 2
RP11-218C14.6,164380,cystatin pseudogene
TLR9,54106,toll-like receptor 9
OR52N1,79473,"olfactory receptor, family 52, subfamily N, member 1"
E2F8,79733,E2F transcription factor 8
KRTAP2-4,85294,keratin associated protein 2-4
ZSCAN18,65982,zinc finger and SCAN domain containing 18
UGT1A9,54600,"UDP glucuronosyltransferase 1 family, polypeptide A9"
KLHL6,89857,kelch-like 6
ELL3,80237,elongation factor RNA polymerase II-like 3
OR1S1,219959,"olfactory receptor, family 1, subfamily S, member 1"
SLC7A13,157724,"solute carrier family 7, (cationic amino acid transporter, y+ system) member 13"
RBPMS2,348093,RNA binding protein with multiple splicing 2
TEX13A,56157,testis expressed 13A
FHOD3,80206,formin homology 2 domain containing 3
MFSD9,84804,major facilitator superfamily domain containing 9
C1orf149,64769,chromosome 1 open reading frame 149
ATP6V1G2,534,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2"
ALKBH8,91801,"alkB, alkylation repair homolog 8 (E. coli)"
LOC56964,56964,hypothetical protein from EUROIMAGE 384293
ZFHX4,79776,zinc finger homeobox 4
SPRYD3,84926,SPRY domain containing 3
OR1F2,26184,"olfactory receptor, family 1, subfamily F, member 2"
DGCR5,26220,DiGeorge syndrome critical region gene 5 (non-coding)
LOC730125,730125,hypothetical protein LOC730125
FGFRL1,53834,fibroblast growth factor receptor-like 1
LRRC38,126755,leucine rich repeat containing 38
RDHE2,195814,epidermal retinal dehydrogenase 2
TRAM1,23471,translocation associated membrane protein 1
JPH4,84502,junctophilin 4
ARID3C,138715,AT rich interactive domain 3C (BRIGHT-like)
NDST4,64579,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4
MBL1P1,8512,"mannose-binding lectin (protein A) 1, pseudogene 1"
TRIM15,89870,tripartite motif-containing 15
NBEAL2,23218,neurobeachin-like 2
RAB6C,84084,"RAB6C, member RAS oncogene family"
UNC93B1,81622,unc-93 homolog B1 (C. elegans)
SLC37A2,219855,"solute carrier family 37 (glycerol-3-phosphate transporter), member 2"
TLX2,3196,T-cell leukemia homeobox 2
WDR18,57418,WD repeat domain 18
SAMSN1,64092,"SAM domain, SH3 domain and nuclear localization signals 1"
C1QTNF1,114897,C1q and tumor necrosis factor related protein 1
PAGE2B,389860,"P antigen family, member 2B"
CALU,813,calumenin
FMNL2,114793,formin-like 2
TWIST2,117581,twist homolog 2
LOC221272,221272,hypothetical protein LOC221272
DAO,1610,D-amino-acid oxidase
C9orf44,158314,chromosome 9 open reading frame 44
ZC3H12A,80149,zinc finger CCCH-type containing 12A
ADIPOR2,79602,adiponectin receptor 2
DEFB126,81623,"defensin, beta 126"
MUTYH,4595,mutY homolog (E. coli)
ODZ4,26011,"odz, odd Oz/ten-m homolog 4"
BIRC7,79444,baculoviral IAP repeat-containing 7 (livin)
C1orf198,84886,chromosome 1 open reading frame 198
C1orf54,79630,chromosome 1 open reading frame 54
REEP3,221035,receptor accessory protein 3
KIAA1975,119385,KIAA1975 protein similar to MRIP2
KIAA1652,85367,KIAA1652 protein
D15Wsu75e,27351,"DNA segment, Chr 15, Wayne State University 75, expressed"
HS3ST6,64711,heparan sulfate (glucosamine) 3-O-sulfotransferase 6
GAGE8,26749,G antigen 8
KRBA1,84626,KRAB-A domain containing 1
B3GNT5,84002,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
ZDHHC14,79683,"zinc finger, DHHC-type containing 14"
MIDN,90007,midnolin
LOC440104,440104,similar to RIKEN cDNA 1110012D08
DNAH11,8701,"dynein, axonemal, heavy chain 11"
C9orf125,84302,chromosome 9 open reading frame 125
NDUFS7,374291,"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)"
PARD6G,84552,par-6 partitioning defective 6 homolog gamma (C. elegans)
SAP130,79595,"Sin3A-associated protein, 130kDa"
G0S2,50486,G0/G1switch 2
RHBDF1,64285,rhomboid 5 homolog 1
SAP30L,79685,SAP30-like
FLJ32679,440321,golgin-like hypothetical protein LOC440321
RGMB,285704,"RGM domain family, member B"
WNT5B,81029,"wingless-type MMTV integration site family, member 5B"
TBX22,50945,T-box 22
HOXD8,3234,homeobox D8
PSCD2,9266,"pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2)"
POLR3GL,84265,polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like
TMIGD1,388364,transmembrane and immunoglobulin domain containing 1
GNGT2,2793,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2"
SLC2A13,114134,"solute carrier family 2 (facilitated glucose transporter), member 13"
BEND5,79656,chromosome 1 open reading frame 165
PRAMEF8,391002,PRAME family member 8
SNORA75,654321,"small nucleolar RNA, H/ACA box 75"
KLHDC3,116138,kelch domain containing 3
IGSF10,285313,"immunoglobulin superfamily, member 10"
RNF122,79845,ring finger protein 122
KRTAP9-3,83900,keratin associated protein 9-3
C4orf17,84103,chromosome 4 open reading frame 17
PPP1R2P1,5505,"protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 1"
LOC90834,90834,hypothetical protein BC001742
FLJ00049,645372,FLJ00049 protein
C3orf39,84892,chromosome 3 open reading frame 39
C2orf7,84279,chromosome 2 open reading frame 7
FLJ23861,151050,hypothetical protein FLJ23861
TUBB6,84617,"tubulin, beta 6"
RFPL3S,10737,ret finger protein-like 3 antisense
UPF3B,65109,UPF3 regulator of nonsense transcripts homolog B
C14orf65,317762,chromosome 14 open reading frame 65
SMPD1,6609,"sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)"
SFRS6,6431,"splicing factor, arginine/serine-rich 6"
CCDC28B,79140,coiled-coil domain containing 28B
C20orf141,128653,chromosome 20 open reading frame 141
CPLX2,10814,complexin 2
FBXL21,26223,F-box and leucine-rich repeat protein 21
LSMD1,84316,LSM domain containing 1
PSIP1,11168,PC4 and SFRS1 interacting protein 1
SIL1,64374,"SIL1 homolog, endoplasmic reticulum chaperone"
KRTAP5-8,57830,keratin associated protein 5-8
FLJ21986,79974,hypothetical protein FLJ21986
IL25,64806,interleukin 25
MS4A8B,83661,"membrane-spanning 4-domains, subfamily A, member 8B"
DYNLRB2,83657,"dynein, light chain, roadblock-type 2"
FKBPL,63943,FK506 binding protein like
FCN3,8547,ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)
C9orf24,84688,chromosome 9 open reading frame 24
ADH1A,124,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
WDR23,80344,WD repeat domain 23
HFE,3077,"hemochromatosis (iron uptake, hyperferremia)"
RBM38,55544,RNA binding motif protein 38
COX6A2,1339,cytochrome c oxidase subunit VIa polypeptide 2
NUP210L,91181,nucleoporin 210kDa-like
HSDL2,84263,hydroxysteroid dehydrogenase like 2
LOC201229,201229,hypothetical protein LOC201229
HYI,81888,hydroxypyruvate isomerase homolog (E. coli)
C10orf90,118611,chromosome 10 open reading frame 90
KRTAP5-4,387267,keratin associated protein 5-4
RP11-144G6.7,399753,hypothetical protein LOC399753
SMEK3P,139420,"SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene"
LMAN1L,79748,"lectin, mannose-binding, 1 like"
CCNJL,79616,cyclin J-like
TCEAL4,79921,transcription elongation factor A (SII)-like 4
ZSWIM3,140831,"zinc finger, SWIM-type containing 3"
CASP12,120329,caspase 12
NRG3,10718,neuregulin 3
PCBP4,57060,poly(rC) binding protein 4
XYLT2,64132,xylosyltransferase II
PHLDA1,22822,"pleckstrin homology-like domain, family A, member 1"
LRRC46,90506,leucine rich repeat containing 46
HAND2,9464,heart and neural crest derivatives expressed 2
USP40,55230,ubiquitin specific peptidase 40
KRTAP2-2,85296,keratin associated protein 2-2
CCDC126,90693,coiled-coil domain containing 126
PRSS27,83886,"protease, serine 27"
CAPZA3,93661,"capping protein (actin filament) muscle Z-line, alpha 3"
NFE2L3,9603,nuclear factor (erythroid-derived 2)-like 3
GKAP1,80318,G kinase anchoring protein 1
ITGA8,8516,"integrin, alpha 8"
GAGE4,2576,G antigen 4
ECHDC3,79746,enoyl Coenzyme A hydratase domain containing 3
LOC145474,145474,hypothetical protein LOC145474
C8orf22,492307,chromosome 8 open reading frame 22
LOC730057,730057,hypothetical protein LOC730057
MUC5B,727897,"mucin 5B, oligomeric mucus/gel-forming"
USP31,57478,ubiquitin specific peptidase 31
ACYP2,98,"acylphosphatase 2, muscle type"
ARSI,340075,"arylsulfatase family, member I"
KIAA1655,85370,KIAA1655 protein
TICRR,90381,TOPBP1-interacting checkpoint and replication regulator
LRRC3B,116135,leucine rich repeat containing 3B
CARD6,84674,"caspase recruitment domain family, member 6"
ITIH5,80760,inter-alpha (globulin) inhibitor H5
IFT140,9742,intraflagellar transport 140 homolog (Chlamydomonas)
GALNT9,50614,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)
RMI1,80010,"RMI1, RecQ mediated genome instability 1, homolog"
NOD2,64127,nucleotide-binding oligomerization domain containing 2
RILP,83547,Rab interacting lysosomal protein
C20orf7,79133,chromosome 20 open reading frame 7
SLC25A31,83447,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31"
WDR54,84058,WD repeat domain 54
SHB,6461,Src homology 2 domain containing adaptor protein B
JAM3,83700,junctional adhesion molecule 3
WIZ,58525,widely interspaced zinc finger motifs
WDR78,79819,WD repeat domain 78
ERC1,23085,ELKS/RAB6-interacting/CAST family member 1
ZXDB,158586,"zinc finger, X-linked, duplicated B"
GPR108,56927,G protein-coupled receptor 108
ALG12,79087,"asparagine-linked glycosylation 12 homolog (S. cerevisiae, alpha-1,6-mannosyltransferase)"
CRELD2,79174,cysteine-rich with EGF-like domains 2
VPS8,23355,vacuolar protein sorting 8 homolog
SCAMP4,113178,secretory carrier membrane protein 4
PLUNC,51297,"palate, lung and nasal epithelium carcinoma associated"
GLT8D2,83468,glycosyltransferase 8 domain containing 2
FYTTD1,84248,forty-two-three domain containing 1
NOPE,57722,neighbor of Punc E11
HOXD1,3231,homeobox D1
LRRC4,64101,leucine rich repeat containing 4
ZFYVE28,57732,"zinc finger, FYVE domain containing 28"
MAGEE1,57692,"melanoma antigen family E, 1"
NRIP2,83714,nuclear receptor interacting protein 2
C3orf65,646600,chromosome 3 open reading frame 65
PPCS,79717,phosphopantothenoylcysteine synthetase
LZTS2,84445,"leucine zipper, putative tumor suppressor 2"
ACOT2,10965,acyl-CoA thioesterase 2
C8orf34,116328,chromosome 8 open reading frame 34
ZNF93,81931,zinc finger protein 93
GLYATL1,92292,glycine-N-acyltransferase-like 1
ZNF483,158399,zinc finger protein 483
KCNK13,56659,"potassium channel, subfamily K, member 13"
LOC390595,390595,similar to ubiquitin-associated protein 1 (predicted)
ARHGAP27,201176,Rho GTPase activating protein 27
SCRT2,85508,"scratch homolog 2, zinc finger protein"
GGTLA4,92086,gamma-glutamyltransferase-like activity 4
LAMB4,22798,"laminin, beta 4"
DYNLL2,140735,"dynein, light chain, LC8-type 2"
HHIP,64399,hedgehog interacting protein
SNORA66,26782,"small nucleolar RNA, H/ACA box 66"
DCUN1D5,84259,"DCN1, defective in cullin neddylation 1, domain containing 5"
TRPM7,54822,"transient receptor potential cation channel, subfamily M, member 7"
GRRP1,79927,glycine/arginine rich protein 1
TYW3,127253,tRNA-yW synthesizing protein 3 homolog
POPDC3,64208,popeye domain containing 3
CLTC,1213,"clathrin, heavy chain (Hc)"
RP5-1077B9.4,60672,invasion inhibitory protein 45
OSAP,84709,ovary-specific acidic protein
DNAH6,1768,"dynein, axonemal, heavy chain 6"
C14orf166B,145497,chromosome 14 open reading frame 166B
C6orf86,389362,chromosome 6 open reading frame 86
C20orf106,200232,chromosome 20 open reading frame 106
MMP26,56547,matrix metallopeptidase 26
KBTBD2,25948,kelch repeat and BTB (POZ) domain containing 2
GSG1,83445,germ cell associated 1
OTX1,5013,orthodenticle homeobox 1
PTPMT1,114971,"protein tyrosine phosphatase, mitochondrial 1"
C1orf57,84284,chromosome 1 open reading frame 57
C17orf49,124944,chromosome 17 open reading frame 49
CCDC18,343099,coiled-coil domain containing 18
MGC4172,79154,short-chain dehydrogenase/reductase
CALCOCO2,10241,calcium binding and coiled-coil domain 2
FRRS1,391059,ferric-chelate reductase 1
OR5B3,441608,"olfactory receptor, family 5, subfamily B, member 3"
ENPEP,2028,glutamyl aminopeptidase (aminopeptidase A)
ODF1,4956,outer dense fiber of sperm tails 1
C6orf166,55122,chromosome 6 open reading frame 166
HNF1A,6927,HNF1 homeobox A
BOC,91653,Boc homolog (mouse)
RDH13,112724,retinol dehydrogenase 13 (all-trans/9-cis)
VTCN1,79679,V-set domain containing T cell activation inhibitor 1
PAQR6,79957,progestin and adipoQ receptor family member VI
FLJ22662,79887,hypothetical protein FLJ22662
POU1F1,5449,POU class 1 homeobox 1
DUSP16,80824,dual specificity phosphatase 16
LY6G6C,80740,"lymphocyte antigen 6 complex, locus G6C"
GARNL3,84253,GTPase activating Rap/RanGAP domain-like 3
HSFY1,86614,"heat shock transcription factor, Y-linked 1"
MEGF10,84466,multiple EGF-like-domains 10
RTDR1,27156,rhabdoid tumor deletion region gene 1
C1orf194,127003,chromosome 1 open reading frame 194
FAHD1,81889,fumarylacetoacetate hydrolase domain containing 1
TMC2,117532,transmembrane channel-like 2
ABHD1,84696,abhydrolase domain containing 1
RBKS,64080,ribokinase
PLAC1,10761,placenta-specific 1
CENTG3,116988,"centaurin, gamma 3"
C10orf65,112817,chromosome 10 open reading frame 65
IGHV3-48,28424,immunoglobulin heavy variable 3-48
FBXW12,285231,F-box and WD repeat domain containing 12
UNQ830,389084,ASCL830
FBXL6,26233,F-box and leucine-rich repeat protein 6
INPP5B,3633,"inositol polyphosphate-5-phosphatase, 75kDa"
LOC100049716,100049716,hypothetical protein LOC100049716
PRO2852,114224,hypothetical protein PRO2852
DGAT2L4,158835,diacylglycerol O-acyltransferase 2-like 4
TTBK1,84630,tau tubulin kinase 1
HMGB1,3146,high-mobility group box 1
BBS4,585,Bardet-Biedl syndrome 4
ANKRD18B,441459,ankyrin repeat domain 18B
TSGA10,80705,"testis specific, 10"
LOC200383,200383,similar to Dynein heavy chain at 16F
PTDSS2,81490,phosphatidylserine synthase 2
CTSLL2,1517,cathepsin L-like 2
TNS1,7145,tensin 1
PRRT1,80863,proline-rich transmembrane protein 1
KRTAP9-8,83901,keratin associated protein 9-8
ABRA,137735,actin-binding Rho activating protein
WNT3A,89780,"wingless-type MMTV integration site family, member 3A"
KRTAP4-8,83898,keratin associated protein 4-8
HMBOX1,79618,homeobox containing 1
HINT2,84681,histidine triad nucleotide binding protein 2
GPR101,83550,G protein-coupled receptor 101
LOC153811,153811,hypothetical protein LOC153811
SOHLH2,54937,spermatogenesis and oogenesis specific basic helix-loop-helix 2
SH3BGRL3,83442,SH3 domain binding glutamic acid-rich protein like 3
C6orf129,154467,chromosome 6 open reading frame 129
RNF39,80352,ring finger protein 39
C11orf16,56673,chromosome 11 open reading frame 16
LOC729961,729961,hypothetical protein LOC729961
ANKRD2,26287,ankyrin repeat domain 2 (stretch responsive muscle)
FLG2,388698,filaggrin family member 2
TMEM93,83460,transmembrane protein 93
FANCI,55215,"Fanconi anemia, complementation group I"
LRFN4,78999,leucine rich repeat and fibronectin type III domain containing 4
SLCO4C1,353189,"solute carrier organic anion transporter family, member 4C1"
OSR2,116039,odd-skipped related 2
PRRG3,79057,proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)
ARMC2,84071,armadillo repeat containing 2
DPYSL2,1808,dihydropyrimidinase-like 2
MORN1,79906,MORN repeat containing 1
GATA5,140628,GATA binding protein 5
SLC9A4,389015,"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
OSBPL9,114883,oxysterol binding protein-like 9
LYRM5,144363,LYR motif containing 5
ZNF708,7562,zinc finger protein 708
PIGZ,80235,"phosphatidylinositol glycan anchor biosynthesis, class Z"
SIGLEC15,284266,sialic acid binding Ig-like lectin 15
DAB2IP,153090,DAB2 interacting protein
MICA,4276,MHC class I polypeptide-related sequence A
ARSJ,79642,"arylsulfatase family, member J"
BACH2,60468,"BTB and CNC homology 1, basic leucine zipper transcription factor 2"
KRTAP10-6,386674,keratin associated protein 10-6
GJA4,2701,"gap junction protein, alpha 4, 37kDa"
OR2M4,26245,"olfactory receptor, family 2, subfamily M, member 4"
OR7E19P,26651,"olfactory receptor, family 7, subfamily E, member 19 pseudogene"
PDYN,5173,prodynorphin
HSP90B3P,343477,"heat shock protein 90kDa beta (Grp94), member 3 (pseudogene)"
C1orf52,148423,chromosome 1 open reading frame 52
SCGB3A2,117156,"secretoglobin, family 3A, member 2"
TSHZ1,10194,teashirt zinc finger homeobox 1
FAM47C,442444,"family with sequence similarity 47, member C"
SRA1,10011,steroid receptor RNA activator 1
GMCL1,64395,germ cell-less homolog 1
VAV2,7410,vav 2 guanine nucleotide exchange factor
LRRC2,79442,leucine rich repeat containing 2
LOC91893,91893,hypothetical protein BC006136
HRASLS5,117245,"HRAS-like suppressor family, member 5"
RTKN,6242,rhotekin
RHOT2,89941,"ras homolog gene family, member T2"
ZNF289,84364,"zinc finger protein 289, ID1 regulated"
FLJ13137,400793,hypothetical gene supported by AK125122
PPP1R16A,84988,"protein phosphatase 1, regulatory (inhibitor) subunit 16A"
SGSM1,129049,small G protein signaling modulator 1
OR5E1P,26343,"olfactory receptor, family 5, subfamily E, member 1 pseudogene"
ANKRD45,339416,ankyrin repeat domain 45
KRTAP3-1,83896,keratin associated protein 3-1
CBLN3,643866,cerebellin 3 precursor
OR5B21,219968,"olfactory receptor, family 5, subfamily B, member 21"
RAB38,23682,"RAB38, member RAS oncogene family"
ATP6V1G3,127124,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3"
REEP4,80346,receptor accessory protein 4
PAAF1,80227,proteasomal ATPase-associated factor 1
DCP1A,55802,DCP1 decapping enzyme homolog A
RAB12,201475,"RAB12, member RAS oncogene family"
ROBO3,64221,"roundabout, axon guidance receptor, homolog 3"
BAHCC1,57597,BAH domain and coiled-coil containing 1
APBA2BP,63941,"amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein"
ZNF768,79724,zinc finger protein 768
TWIST1,7291,twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome)
TMPRSS3,64699,"transmembrane protease, serine 3"
MGC12916,84815,hypothetical protein MGC12916
C1QTNF6,114904,C1q and tumor necrosis factor related protein 6
TSPAN9,10867,tetraspanin 9
THY1,7070,Thy-1 cell surface antigen
SLC25A22,79751,"solute carrier family 25 (mitochondrial carrier: glutamate), member 22"
OR2J3,442186,"olfactory receptor, family 2, subfamily J, member 3"
FUCA2,2519,"fucosidase, alpha-L- 2, plasma"
RAB23,51715,"RAB23, member RAS oncogene family"
FN3KRP,79672,fructosamine-3-kinase-related protein
LDOC1L,84247,"leucine zipper, down-regulated in cancer 1-like"
OR8J3,81168,"olfactory receptor, family 8, subfamily J, member 3"
LMNB2,84823,lamin B2
ZNF408,79797,zinc finger protein 408
KRTAP3-2,83897,keratin associated protein 3-2
LOC253573,253573,hypothetical protein LOC253573
THA1P,390816,threonine aldolase 1 pseudogene
PYROXD1,79912,pyridine nucleotide-disulphide oxidoreductase domain 1
TBX1,6899,T-box 1
MYO18B,84700,myosin XVIIIB
POF1B,79983,"premature ovarian failure, 1B"
SLC25A33,84275,"solute carrier family 25, member 33"
LIM2,3982,"lens intrinsic membrane protein 2, 19kDa"
ESPN,83715,espin
C6orf70,55780,chromosome 6 open reading frame 70
TOX2,84969,TOX high mobility group box family member 2
IQCD,115811,IQ motif containing D
SMYD3,64754,SET and MYND domain containing 3
FBXO43,286151,F-box protein 43
PDGFD,80310,platelet derived growth factor D
TBL1X,6907,transducin (beta)-like 1X-linked
CTSLL3,1518,cathepsin L-like 3
CDCA7L,55536,cell division cycle associated 7-like
C22orf33,339669,chromosome 22 open reading frame 33
UCP3,7352,"uncoupling protein 3 (mitochondrial, proton carrier)"
CAMK2N1,55450,calcium/calmodulin-dependent protein kinase II inhibitor 1
BCDO2,83875,beta-carotene dioxygenase 2
ELK3,2004,"ELK3, ETS-domain protein (SRF accessory protein 2)"
APOLD1,81575,apolipoprotein L domain containing 1
ATP8B3,148229,"ATPase, class I, type 8B, member 3"
BTBD11,121551,BTB (POZ) domain containing 11
GUCA2A,2980,guanylate cyclase activator 2A (guanylin)
PLB1,151056,phospholipase B1
TTC31,64427,tetratricopeptide repeat domain 31
PCDHA13,56136,protocadherin alpha 13
DYSFIP1,116729,dysferlin interacting protein 1
C12orf34,84915,chromosome 12 open reading frame 34
OR51G1,79324,"olfactory receptor, family 51, subfamily G, member 1"
NLRP12,91662,"NLR family, pyrin domain containing 12"
GUCD1,83606,guanylyl cyclase domain containing 1
ATP13A4,84239,ATPase type 13A4
LRP3,4037,low density lipoprotein receptor-related protein 3
REPIN1,29803,replication initiator 1
PDZD3,79849,PDZ domain containing 3
TMEM118,84900,transmembrane protein 118
NARS2,79731,"asparaginyl-tRNA synthetase 2, mitochondrial (putative)"
TRAPPC5,126003,trafficking protein particle complex 5
PDLIM2,64236,PDZ and LIM domain 2 (mystique)
NRIP3,56675,nuclear receptor interacting protein 3
TMEM166,84141,transmembrane protein 166
ZNF135,7694,zinc finger protein 135
"CCDC42,IFI6",146849,"coiled-coil domain containing 42, interferon, alpha-inducible protein 6"
VSX2,338917,visual system homeobox 2
CATSPER2,117155,"cation channel, sperm associated 2"
CTHRC1,115908,collagen triple helix repeat containing 1
MCART1,92014,mitochondrial carrier triple repeat 1
ACOT12,134526,acyl-CoA thioesterase 12
PCDHA5,56143,protocadherin alpha 5
ZDHHC18,84243,"zinc finger, DHHC-type containing 18"
ARHGEF15,22899,Rho guanine nucleotide exchange factor (GEF) 15
C1orf192,257177,chromosome 1 open reading frame 192
JMJD4,65094,jumonji domain containing 4
SLAMF9,89886,SLAM family member 9
HPS4,89781,Hermansky-Pudlak syndrome 4
CXorf21,80231,chromosome X open reading frame 21
TPK1,27010,thiamin pyrophosphokinase 1
FCRLA,84824,Fc receptor-like A
SLC41A2,84102,"solute carrier family 41, member 2"
CIDEC,63924,cell death-inducing DFFA-like effector c
CAPN12,147968,calpain 12
LOC284240,284240,hypothetical protein LOC284240
SHARPIN,81858,SHANK-associated RH domain interactor
ZNF66,7617,zinc finger protein 66
PNLIPRP3,119548,pancreatic lipase-related protein 3
BSCL2,26580,Bernardinelli-Seip congenital lipodystrophy 2 (seipin)
C14orf140,79696,chromosome 14 open reading frame 140
OR3A3,8392,"olfactory receptor, family 3, subfamily A, member 3"
OLFM3,118427,olfactomedin 3
AQP10,89872,aquaporin 10
NDFIP1,80762,Nedd4 family interacting protein 1
C1orf122,127687,chromosome 1 open reading frame 122
MLZE,56169,"melanoma-derived leucine zipper, extra-nuclear factor"
C6orf163,206412,chromosome 6 open reading frame 163
GPR92,57121,G protein-coupled receptor 92
CDH17,1015,"cadherin 17, LI cadherin (liver-intestine)"
C16orf68,79091,chromosome 16 open reading frame 68
ABCA9,10350,"ATP-binding cassette, sub-family A (ABC1), member 9"
MAGEF1,64110,"melanoma antigen family F, 1"
DHRS7C,201140,dehydrogenase/reductase (SDR family) member 7C
CNFN,84518,cornifelin
DGCR9,25787,DiGeorge syndrome critical region gene 9
ZHX2,22882,zinc fingers and homeoboxes 2
C15orf48,84419,chromosome 15 open reading frame 48
TRIM69,140691,tripartite motif-containing 69
KLHL29,114818,kelch-like 29
SLC32A1,140679,"solute carrier family 32 (GABA vesicular transporter), member 1"
EIF2S3,1968,"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa"
GPR152,390212,G protein-coupled receptor 152
JUB,84962,"jub, ajuba homolog (Xenopus laevis)"
PLCZ1,89869,"phospholipase C, zeta 1"
SH2D5,400745,SH2 domain containing 5
PTPN9,5780,"protein tyrosine phosphatase, non-receptor type 9"
RHOJ,57381,"ras homolog gene family, member J"
COL9A2,1298,"collagen, type IX, alpha 2"
KCND2,3751,"potassium voltage-gated channel, Shal-related subfamily, member 2"
NMS,129521,neuromedin S
CST9L,128821,cystatin 9-like (mouse)
PNMA6A,84968,paraneoplastic antigen like 6A
MED13,9969,mediator complex subunit 13
PPAPDC3,84814,phosphatidic acid phosphatase type 2 domain containing 3
EPPK1,83481,epiplakin 1
BTBD10,84280,BTB (POZ) domain containing 10
TNFAIP8L2,79626,"tumor necrosis factor, alpha-induced protein 8-like 2"
KIAA1549,57670,KIAA1549 protein
